2025-11-04 18:31:45 | [INFO] ChromaDB가 없어 새로 생성합니다...
2025-11-04 18:32:03 | [INFO] 총 배치 수: 2526, 시작 배치 인덱스: 0
2025-11-04 18:32:08 | ✅ 진행 완료 배치: 0
2025-11-04 18:32:23 | ✅ 진행 완료 배치: 1
2025-11-04 18:32:38 | ✅ 진행 완료 배치: 2
2025-11-04 18:32:53 | ✅ 진행 완료 배치: 3
2025-11-04 18:33:07 | ✅ 진행 완료 배치: 4
2025-11-04 18:33:21 | ✅ 진행 완료 배치: 5
2025-11-04 18:33:37 | ✅ 진행 완료 배치: 6
2025-11-04 18:33:53 | ✅ 진행 완료 배치: 7
2025-11-04 18:34:07 | ✅ 진행 완료 배치: 8
2025-11-04 18:34:22 | ✅ 진행 완료 배치: 9
2025-11-04 18:34:37 | ✅ 진행 완료 배치: 10
2025-11-04 18:34:51 | ✅ 진행 완료 배치: 11
2025-11-04 18:35:05 | ✅ 진행 완료 배치: 12
2025-11-04 18:35:19 | ✅ 진행 완료 배치: 13
2025-11-04 18:35:34 | ✅ 진행 완료 배치: 14
2025-11-04 18:35:50 | ✅ 진행 완료 배치: 15
2025-11-04 18:36:04 | ✅ 진행 완료 배치: 16
2025-11-04 18:36:20 | ✅ 진행 완료 배치: 17
2025-11-04 18:36:34 | ✅ 진행 완료 배치: 18
2025-11-04 18:36:49 | ✅ 진행 완료 배치: 19
2025-11-04 18:37:05 | ✅ 진행 완료 배치: 20
2025-11-04 18:37:19 | ✅ 진행 완료 배치: 21
2025-11-04 18:37:33 | ✅ 진행 완료 배치: 22
2025-11-04 18:37:48 | ✅ 진행 완료 배치: 23
2025-11-04 18:38:03 | ✅ 진행 완료 배치: 24
2025-11-04 18:38:18 | ✅ 진행 완료 배치: 25
2025-11-04 18:38:32 | ✅ 진행 완료 배치: 26
2025-11-04 18:38:48 | ✅ 진행 완료 배치: 27
2025-11-04 18:39:02 | ✅ 진행 완료 배치: 28
2025-11-04 18:39:16 | ✅ 진행 완료 배치: 29
2025-11-04 18:39:29 | ✅ 진행 완료 배치: 30
2025-11-04 18:39:43 | ✅ 진행 완료 배치: 31
2025-11-04 18:39:57 | ✅ 진행 완료 배치: 32
2025-11-04 18:40:11 | ✅ 진행 완료 배치: 33
2025-11-04 18:40:25 | ✅ 진행 완료 배치: 34
2025-11-04 18:40:39 | ✅ 진행 완료 배치: 35
2025-11-04 18:40:53 | ✅ 진행 완료 배치: 36
2025-11-04 18:41:07 | ✅ 진행 완료 배치: 37
2025-11-04 18:41:22 | ✅ 진행 완료 배치: 38
2025-11-04 18:41:36 | ✅ 진행 완료 배치: 39
2025-11-04 18:41:50 | ✅ 진행 완료 배치: 40
2025-11-04 18:42:05 | ✅ 진행 완료 배치: 41
2025-11-04 18:42:20 | ✅ 진행 완료 배치: 42
2025-11-04 18:42:34 | ✅ 진행 완료 배치: 43
2025-11-04 18:42:49 | ✅ 진행 완료 배치: 44
2025-11-04 18:43:03 | ✅ 진행 완료 배치: 45
2025-11-04 18:43:17 | ✅ 진행 완료 배치: 46
2025-11-04 18:43:31 | ✅ 진행 완료 배치: 47
2025-11-04 18:43:45 | ✅ 진행 완료 배치: 48
2025-11-04 18:43:59 | ✅ 진행 완료 배치: 49
2025-11-04 18:44:14 | ✅ 진행 완료 배치: 50
2025-11-04 18:44:30 | ✅ 진행 완료 배치: 51
2025-11-04 18:44:44 | ✅ 진행 완료 배치: 52
2025-11-04 18:44:58 | ✅ 진행 완료 배치: 53
2025-11-04 18:45:12 | ✅ 진행 완료 배치: 54
2025-11-04 18:45:26 | ✅ 진행 완료 배치: 55
2025-11-04 18:45:41 | ✅ 진행 완료 배치: 56
2025-11-04 18:45:55 | ✅ 진행 완료 배치: 57
2025-11-04 18:46:09 | ✅ 진행 완료 배치: 58
2025-11-04 18:46:22 | ✅ 진행 완료 배치: 59
2025-11-04 18:46:37 | ✅ 진행 완료 배치: 60
2025-11-04 18:46:51 | ✅ 진행 완료 배치: 61
2025-11-04 18:47:05 | ✅ 진행 완료 배치: 62
2025-11-04 18:47:19 | ✅ 진행 완료 배치: 63
2025-11-04 18:47:33 | ✅ 진행 완료 배치: 64
2025-11-04 18:47:48 | ✅ 진행 완료 배치: 65
2025-11-04 18:48:02 | ✅ 진행 완료 배치: 66
2025-11-04 18:48:17 | ✅ 진행 완료 배치: 67
2025-11-04 18:48:31 | ✅ 진행 완료 배치: 68
2025-11-04 18:48:46 | ✅ 진행 완료 배치: 69
2025-11-04 18:49:00 | ✅ 진행 완료 배치: 70
2025-11-04 18:49:15 | ✅ 진행 완료 배치: 71
2025-11-04 18:49:29 | ✅ 진행 완료 배치: 72
2025-11-04 18:49:43 | ✅ 진행 완료 배치: 73
2025-11-04 18:49:59 | ✅ 진행 완료 배치: 74
2025-11-04 18:50:13 | ✅ 진행 완료 배치: 75
2025-11-04 18:50:28 | ✅ 진행 완료 배치: 76
2025-11-04 18:50:43 | ✅ 진행 완료 배치: 77
2025-11-04 18:50:57 | ✅ 진행 완료 배치: 78
2025-11-04 18:51:11 | ✅ 진행 완료 배치: 79
2025-11-04 18:51:26 | ✅ 진행 완료 배치: 80
2025-11-04 18:51:41 | ✅ 진행 완료 배치: 81
2025-11-04 18:51:55 | ✅ 진행 완료 배치: 82
2025-11-04 18:52:10 | ✅ 진행 완료 배치: 83
2025-11-04 18:52:24 | ✅ 진행 완료 배치: 84
2025-11-04 18:52:39 | ✅ 진행 완료 배치: 85
2025-11-04 18:52:53 | ✅ 진행 완료 배치: 86
2025-11-04 18:53:08 | ✅ 진행 완료 배치: 87
2025-11-04 18:53:22 | ✅ 진행 완료 배치: 88
2025-11-04 18:53:36 | ✅ 진행 완료 배치: 89
2025-11-04 18:53:51 | ✅ 진행 완료 배치: 90
2025-11-04 18:54:06 | ✅ 진행 완료 배치: 91
2025-11-04 18:54:21 | ✅ 진행 완료 배치: 92
2025-11-04 18:54:35 | ✅ 진행 완료 배치: 93
2025-11-04 18:54:49 | ✅ 진행 완료 배치: 94
2025-11-04 18:55:05 | ✅ 진행 완료 배치: 95
2025-11-04 18:55:20 | ✅ 진행 완료 배치: 96
2025-11-04 18:55:34 | ✅ 진행 완료 배치: 97
2025-11-04 18:55:48 | ✅ 진행 완료 배치: 98
2025-11-04 18:56:03 | ✅ 진행 완료 배치: 99
2025-11-04 18:56:17 | ✅ 진행 완료 배치: 100
2025-11-04 18:56:31 | ✅ 진행 완료 배치: 101
2025-11-04 18:56:45 | ✅ 진행 완료 배치: 102
2025-11-04 18:57:01 | ✅ 진행 완료 배치: 103
2025-11-04 18:57:17 | ✅ 진행 완료 배치: 104
2025-11-04 18:57:32 | ✅ 진행 완료 배치: 105
2025-11-04 18:57:49 | ✅ 진행 완료 배치: 106
2025-11-04 18:58:04 | ✅ 진행 완료 배치: 107
2025-11-04 18:58:22 | ✅ 진행 완료 배치: 108
2025-11-04 18:58:36 | ✅ 진행 완료 배치: 109
2025-11-04 18:58:50 | ✅ 진행 완료 배치: 110
2025-11-04 18:59:05 | ✅ 진행 완료 배치: 111
2025-11-04 18:59:19 | ✅ 진행 완료 배치: 112
2025-11-04 18:59:34 | ✅ 진행 완료 배치: 113
2025-11-04 18:59:47 | ✅ 진행 완료 배치: 114
2025-11-04 19:00:03 | ✅ 진행 완료 배치: 115
2025-11-04 19:00:17 | ✅ 진행 완료 배치: 116
2025-11-04 19:00:32 | ✅ 진행 완료 배치: 117
2025-11-04 19:00:46 | ✅ 진행 완료 배치: 118
2025-11-04 19:01:00 | ✅ 진행 완료 배치: 119
2025-11-04 19:01:15 | ✅ 진행 완료 배치: 120
2025-11-04 19:01:29 | ✅ 진행 완료 배치: 121
2025-11-04 19:01:43 | ✅ 진행 완료 배치: 122
2025-11-04 19:01:57 | ✅ 진행 완료 배치: 123
2025-11-04 19:02:13 | ✅ 진행 완료 배치: 124
2025-11-04 19:02:27 | ✅ 진행 완료 배치: 125
2025-11-04 19:02:41 | ✅ 진행 완료 배치: 126
2025-11-04 19:02:56 | ✅ 진행 완료 배치: 127
2025-11-04 19:03:10 | ✅ 진행 완료 배치: 128
2025-11-04 19:03:25 | ✅ 진행 완료 배치: 129
2025-11-04 19:03:40 | ✅ 진행 완료 배치: 130
2025-11-04 19:03:55 | ✅ 진행 완료 배치: 131
2025-11-04 19:04:10 | ✅ 진행 완료 배치: 132
2025-11-04 19:04:26 | ✅ 진행 완료 배치: 133
2025-11-04 19:04:40 | ✅ 진행 완료 배치: 134
2025-11-04 19:04:56 | ✅ 진행 완료 배치: 135
2025-11-04 19:05:13 | ✅ 진행 완료 배치: 136
2025-11-04 19:05:28 | ✅ 진행 완료 배치: 137
2025-11-04 19:05:42 | ✅ 진행 완료 배치: 138
2025-11-04 19:05:57 | ✅ 진행 완료 배치: 139
2025-11-04 19:06:12 | ✅ 진행 완료 배치: 140
2025-11-04 19:06:26 | ✅ 진행 완료 배치: 141
2025-11-04 19:06:41 | ✅ 진행 완료 배치: 142
